# Final state angular momentum:   1
# Broadening parameter (in eV):    0.800
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
   45.27527528    0.00055839
   45.38538539    0.00054381
   45.49549550    0.00053241
   45.60560561    0.00052432
   45.71571572    0.00051933
   45.82582583    0.00051709
   45.93593594    0.00051716
   46.04604605    0.00051903
   46.15615616    0.00052213
   46.26626627    0.00052573
   46.37637638    0.00052906
   46.48648649    0.00053152
   46.59659660    0.00053282
   46.70670671    0.00053301
   46.81681682    0.00053230
   46.92692693    0.00053078
   47.03703704    0.00052826
   47.14714715    0.00052441
   47.25725726    0.00051892
   47.36736737    0.00051173
   47.47747748    0.00050302
   47.58758759    0.00049310
   47.69769770    0.00048239
   47.80780781    0.00047126
   47.91791792    0.00046010
   48.02802803    0.00044923
   48.13813814    0.00043891
   48.24824825    0.00042924
   48.35835836    0.00042017
   48.46846847    0.00041146
   48.57857858    0.00040287
   48.68868869    0.00039431
   48.79879880    0.00038596
   48.90890891    0.00037814
   49.01901902    0.00037119
   49.12912913    0.00036526
   49.23923924    0.00036024
   49.34934935    0.00035586
   49.45945946    0.00035176
   49.56956957    0.00034764
   49.67967968    0.00034338
   49.78978979    0.00033902
   49.89989990    0.00033477
   50.01001001    0.00033084
   50.12012012    0.00032734
   50.23023023    0.00032415
   50.34034034    0.00032101
   50.45045045    0.00031760
   50.56056056    0.00031369
   50.67067067    0.00030923
   50.78078078    0.00030434
   50.89089089    0.00029925
   51.00100100    0.00029419
   51.11111111    0.00028938
   51.22122122    0.00028498
   51.33133133    0.00028113
   51.44144144    0.00027787
   51.55155155    0.00027515
   51.66166166    0.00027283
   51.77177177    0.00027074
   51.88188188    0.00026873
   51.99199199    0.00026669
   52.10210210    0.00026450
   52.21221221    0.00026204
   52.32232232    0.00025922
   52.43243243    0.00025598
   52.54254254    0.00025234
   52.65265265    0.00024840
   52.76276276    0.00024430
   52.87287287    0.00024024
   52.98298298    0.00023640
   53.09309309    0.00023303
   53.20320320    0.00023035
   53.31331331    0.00022855
   53.42342342    0.00022775
   53.53353353    0.00022793
   53.64364364    0.00022899
   53.75375375    0.00023070
   53.86386386    0.00023282
   53.97397397    0.00023513
   54.08408408    0.00023753
   54.19419419    0.00024005
   54.30430430    0.00024286
   54.41441441    0.00024618
   54.52452452    0.00025014
   54.63463463    0.00025470
   54.74474474    0.00025957
   54.85485485    0.00026429
   54.96496496    0.00026835
   55.07507508    0.00027127
   55.18518519    0.00027271
   55.29529530    0.00027251
